Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fashion_mnist,baseline_model,10,"{'lr': 0.016904011802416324, 'epsilon': 0.000191610223534595}",79.40000296,0.973999977,0.996444464,0.811983466,0.970719576,0.863699734,7.021226168,0.124056816
cmaterdb/devanagari,lookAhead,1,"{'optimizer': 'adam', 'slow_step_size': 0.8451499563674828}",93.80000234,0.980000019,0.999777794,0.947368443,0.987020612,0.966536701,8.158127546,0.223689795
cmaterdb/devanagari,lookAhead,2,"{'optimizer': 'adam', 'slow_step_size': 0.7148240822809064}",92.79999733,0.986000001,1,0.931174099,0.989970684,0.970874071,8.633895636,0.141243935
cmaterdb/devanagari,lookAhead,3,"{'optimizer': 'adam', 'slow_step_size': 0.7054057453203856}",92.40000248,0.987999976,0.999777794,0.930327892,0.990534186,0.968549252,12.5637331,0.127674103
cmaterdb/devanagari,lookAhead,4,"{'optimizer': 'adam', 'slow_step_size': 0.88583783989682}",92.19999909,0.981999993,0.999777794,0.928861797,0.987555325,0.963399649,10.56729269,0.135452509
cmaterdb/devanagari,lookAhead,5,"{'optimizer': 'adam', 'slow_step_size': 0.8997737419430578}",93.80000234,0.977999985,0.999777794,0.948665321,0.986462891,0.967961669,10.76769614,0.136528015
cmaterdb/devanagari,lookAhead,6,"{'optimizer': 'adam', 'slow_step_size': 0.8833955558074794}",93.99999976,0.977999985,0.999555528,0.947368443,0.986566603,0.966340065,10.45779896,0.168228626
cmaterdb/devanagari,lookAhead,7,"{'optimizer': 'adam', 'slow_step_size': 0.7578645848133035}",93.59999895,0.980000019,0.999777794,0.939271271,0.986987531,0.966941476,10.40027642,0.13503623
cmaterdb/devanagari,lookAhead,8,"{'optimizer': 'adam', 'slow_step_size': 0.8913837527803111}",91.79999828,0.977999985,0.999777794,0.925101221,0.985628128,0.961871505,12.48164868,0.12747097
cmaterdb/devanagari,lookAhead,9,"{'optimizer': 'adam', 'slow_step_size': 0.8836576455242068}",91.60000086,0.980000019,1,0.928861797,0.987448275,0.969517887,10.1205349,0.132258654
cmaterdb/devanagari,lookAhead,10,"{'optimizer': 'adam', 'slow_step_size': 0.8885508923364045}",91.79999828,0.981999993,1,0.92479676,0.987952292,0.968015492,10.89209104,0.144348621
cmaterdb/devanagari,lookAhead_improved,1,"{'sync_period': 9, 'slow_step_size': 0.6448732547706064}",91.39999747,0.991999984,1,0.927083313,0.991112292,0.966172755,11.51138592,0.268793821
